"","Prot","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TRM3","TRM3",-0.214503861332899,11.5042677603562,-0.67817182711943,0.525950013382453,0.922386776874571,-6.71377012381529
"RIO2","RIO2",0.895049625024204,9.32029835079193,0.69164480669428,0.51809315911763,0.922386776874571,-6.71430201879527
"ZRT3","ZRT3",0.41676206827372,13.1676652701046,0.668030292083854,0.531916169773869,0.922386776874571,-6.71671891758657
"TFC7","TFC7",0.182449461505568,8.22715349230612,0.688289492296149,0.520042428866793,0.922386776874571,-6.71680260688674
"RSC9","RSC9",-0.989394904575284,9.18973714780904,-0.687376316888792,0.520573789352907,0.922386776874571,-6.71748140339585
"CTK2","CTK2",-0.404211293318433,7.28179159926939,-0.687061642585388,0.520756977040593,0.922386776874571,-6.71771513775681
"SPT5","SPT5",0.310631931972204,11.3802728090663,0.68518158692051,0.521852351760482,0.922386776874571,-6.7191097439649
"CDC9","CDC9",0.166271397315428,8.50434075741968,0.590518591431758,0.578964091636839,0.928424817011481,-6.71914031430968
"MCK1","MCK1",-0.260895791232264,11.7033011452495,-0.684321311530729,0.522354087032233,0.922386776874571,-6.71974682114543
"SES1","SES1",0.153750083022809,13.6572523968749,0.683905515937274,0.522596705601131,0.922386776874571,-6.72005449848984
"SEC39","SEC39",-1.08464111391345,9.87898215845593,-0.676710288904997,0.526807070003732,0.922386776874571,-6.72036835827179
"HMT1","HMT1",0.21248180690863,10.6067153217237,0.603442315614926,0.570944572513671,0.928424817011481,-6.72050949343706
"CTR9","CTR9",0.11515266545694,8.98478126519799,0.527089756947544,0.619301766854667,0.930635269862416,-6.72079567102268
"GPA1","GPA1",-0.273508427219262,10.8791356027523,-0.607756328386053,0.568282985542122,0.926443064448181,-6.7214829655932
"CYC8","CYC8",-0.258131750780096,7.8891675346229,-0.681906598961673,0.523764133804523,0.922386776874571,-6.72153145533408
"HSP12","HSP12",0.431406069598754,11.5566513027582,0.634352348088582,0.552046062156629,0.923116897522225,-6.72159964384139
"OM45","OM45",0.593573008720497,9.33950510282698,0.652865883573366,0.540920084532092,0.922386776874571,-6.72180869620284
"COQ9","COQ9",0.177087228088863,7.9603868154829,0.658504087833754,0.53756082799421,0.922386776874571,-6.72251296542524
"RPL16A","RPL16A",-0.264620103591625,13.6400283720311,-0.680476152211964,0.524600625919492,0.922386776874571,-6.72258615696685
"DSE4","DSE4",0.425157894971387,7.68182979997299,0.617952011599583,0.562023425123554,0.923198206700951,-6.72296187327758
"OST6","OST6",-0.340460078881206,7.76749709025015,-0.679642743523022,0.525088394406364,0.922386776874571,-6.72319979197189
"RPS3","RPS3",0.225647506907006,16.1916783673748,0.678934018117938,0.52550342722094,0.922386776874571,-6.7237211266623
"HYR1","HYR1",-0.307986455529283,11.9341787346717,-0.628168022372336,0.555795062882112,0.923198206700951,-6.72405182777242
"STO1","STO1",0.107361760600409,12.5151498573664,0.565783096102166,0.594503518925395,0.930626302012305,-6.72433655567068
"YME1","YME1",0.879097858710625,9.46287398080719,0.675157826196348,0.52771846118412,0.922386776874571,-6.72482157063854
"BBC1","BBC1",0.171021161632914,12.2629069556662,0.626559938475159,0.556772545865593,0.923198206700951,-6.72542914733363
"ARO4","ARO4",-0.175824608089477,14.8091800693656,-0.638303625089591,0.549659237654272,0.923079034494259,-6.72567603391261
"POM152","POM152",1.01912712970035,9.27161981732247,0.676012248993618,0.527216732975363,0.922386776874571,-6.72586553977113
"FDC1","FDC1",-0.221063530956286,12.8505981830357,-0.668293240892115,0.531760917413237,0.922386776874571,-6.72793896903008
"GCS1","GCS1",0.332807177238376,10.6136422415183,0.626238372917787,0.556968142127104,0.923198206700951,-6.72795956387816
"CCP1","CCP1",0.276625192353854,12.1961344633487,0.653761547820758,0.5403855340999,0.922386776874571,-6.72947529894195
"SCL1","SCL1",-0.307259229875749,12.3482509811818,-0.644465234796098,0.545950470385058,0.922386776874571,-6.72961768890949
"PRT1","PRT1",-0.316017487055426,11.2045142973004,-0.668763700563995,0.531483219392419,0.922386776874571,-6.73115193991447
"PUS9","PUS9",0.197623339431378,8.15830592041118,0.655348581211593,0.539439205528361,0.922386776874571,-6.73145542546815
"KCC4","KCC4",-0.893902153245443,10.0925614122507,-0.668078296660634,0.531887824293597,0.922386776874571,-6.73161599429587
"TAN1","TAN1",0.171636119775334,8.0059513152064,0.639631961768441,0.548858325778932,0.923079034494259,-6.73175039898564
"PUP1","PUP1",0.73692529710671,9.1897718561085,0.657060433799127,0.538419660692763,0.922386776874571,-6.73187016333841
"FUB1","FUB1",-0.251483811839956,7.11417236543408,-0.649209692488684,0.543105737182742,0.922386776874571,-6.73325798913437
"RPL24B","RPL24B",0.506393973060693,12.415899248716,0.665666212216676,0.533313330591964,0.922386776874571,-6.7333962875406
